Dimension,Dimension Label,Score,Response
Following regular schedule for bedtime & sleeping enough,10_sleep,2,I have to wake up a few times every night to take care of my mom. She is sick.
Maintaining regular schedule for eating,11_eat,0,I eat regularly.
Maintaining regular schedule for eating,11_eat,0,My eating habits are good.
Maintaining regular schedule for eating,11_eat,0,My eating habits are okay.
Maintaining regular schedule for eating,11_eat,0,I pay a lot of attention on eating.
Maintaining regular schedule for eating,11_eat,0,I eat well.
Maintaining regular schedule for eating,11_eat,0,I eat healthy and regular.
Maintaining regular schedule for eating,11_eat,0,I am taking food regularly.
Maintaining regular schedule for eating,11_eat,0,I eat three meals a day.
Maintaining regular schedule for eating,11_eat,0,I eat two to three meals a day.
Maintaining regular schedule for eating,11_eat,0,I take good care of my eating.
Maintaining regular schedule for eating,11_eat,0,I have a good appetite.
Maintaining regular schedule for eating,11_eat,0,I have meals on time.
Maintaining regular schedule for eating,11_eat,0,I have meals on a regular basis.
Maintaining regular schedule for eating,11_eat,0,I make sure to eat on time every day.
Maintaining regular schedule for eating,11_eat,0,I eat three balanced meals a day.
Maintaining regular schedule for eating,11_eat,0,I stick to a consistent meal schedule.
Maintaining regular schedule for eating,11_eat,0,I have a well-structured eating routine.
Maintaining regular schedule for eating,11_eat,0,"I eat breakfast, lunch, and dinner without skipping meals."
Maintaining regular schedule for eating,11_eat,0,I maintain a good balance between healthy and enjoyable foods.
Maintaining regular schedule for eating,11_eat,0,I always eat at the same time each day.
Maintaining regular schedule for eating,11_eat,0,I plan my meals to ensure I eat properly.
Maintaining regular schedule for eating,11_eat,0,I enjoy cooking and preparing my meals regularly.
Maintaining regular schedule for eating,11_eat,0,I always have time to eat a proper meal.
Maintaining regular schedule for eating,11_eat,0,"I never skip meals, no matter how busy I am."
Maintaining regular schedule for eating,11_eat,0,I eat enough to fuel my body properly.
Maintaining regular schedule for eating,11_eat,0,I take my nutrition seriously and follow a healthy diet.
Maintaining regular schedule for eating,11_eat,0,I enjoy my meals and make sure they are nutritious.
Maintaining regular schedule for eating,11_eat,0,I eat homemade meals most of the time.
Maintaining regular schedule for eating,11_eat,0,I prioritize meal planning to keep my diet consistent.
Maintaining regular schedule for eating,11_eat,0,"I always eat breakfast, and it helps me start my day right."
Maintaining regular schedule for eating,11_eat,0,I make time for proper meals even when I have a busy schedule.
Maintaining regular schedule for eating,11_eat,0,I have a stable and healthy eating pattern.
Maintaining regular schedule for eating,11_eat,0,I maintain a steady intake of nutrients through my meals.
Maintaining regular schedule for eating,11_eat,0,I drink enough water and stay hydrated throughout the day.
Maintaining regular schedule for eating,11_eat,0,I avoid skipping meals and prioritize regular eating.
Maintaining regular schedule for eating,11_eat,0,I eat a variety of foods to stay healthy.
Maintaining regular schedule for eating,11_eat,0,I have a good relationship with food and enjoy eating.
Maintaining regular schedule for eating,11_eat,0,I never forget to eat because I stick to a routine.
Maintaining regular schedule for eating,11_eat,0,I enjoy eating nutritious meals every day.
Maintaining regular schedule for eating,11_eat,0,I have a well-balanced diet that keeps me energized.
Maintaining regular schedule for eating,11_eat,0,I eat small but frequent meals to stay satisfied.
Maintaining regular schedule for eating,11_eat,0,I prepare my meals ahead of time to stay consistent.
Maintaining regular schedule for eating,11_eat,0,I always make sure to get enough calories and nutrients.
Maintaining regular schedule for eating,11_eat,0,I don’t struggle with eating regularly.
Maintaining regular schedule for eating,11_eat,0,I rarely overeat or undereat.
Maintaining regular schedule for eating,11_eat,0,"I make sure my meals include protein, vegetables, and healthy fats."
Maintaining regular schedule for eating,11_eat,0,I eat with my family at regular meal times.
Maintaining regular schedule for eating,11_eat,0,I enjoy eating healthy foods that make me feel good.
Maintaining regular schedule for eating,11_eat,0,I don’t have any issues with my appetite.
Maintaining regular schedule for eating,11_eat,0,I snack in moderation and maintain a balanced diet.
Maintaining regular schedule for eating,11_eat,0,I love trying new healthy recipes.
Maintaining regular schedule for eating,11_eat,0,"I always eat breakfast, and it helps me focus better."
Maintaining regular schedule for eating,11_eat,0,I cook most of my meals at home and enjoy the process.
Maintaining regular schedule for eating,11_eat,0,I never go to bed hungry because I eat consistently.
Maintaining regular schedule for eating,11_eat,0,I follow a meal plan to keep my eating regular.
Maintaining regular schedule for eating,11_eat,0,I eat when I’m hungry and stop when I’m full.
Maintaining regular schedule for eating,11_eat,0,I rarely eat junk food and prioritize healthy eating.
Maintaining regular schedule for eating,11_eat,0,I make time to sit down and enjoy my meals.
Maintaining regular schedule for eating,11_eat,0,I have good control over my portion sizes.
Maintaining regular schedule for eating,11_eat,0,I take vitamins and supplements to support my diet.
Maintaining regular schedule for eating,11_eat,0,I keep track of my nutrition and make adjustments when needed.
Maintaining regular schedule for eating,11_eat,0,I maintain a balanced diet that fits my lifestyle.
Maintaining regular schedule for eating,11_eat,0,I never go too long without eating a meal.
Maintaining regular schedule for eating,11_eat,1,I don't eat breakfast.
Maintaining regular schedule for eating,11_eat,1,I skip the breakfast.
Maintaining regular schedule for eating,11_eat,1,I don't eat lunch.
Maintaining regular schedule for eating,11_eat,1,I skip the lunch.
Maintaining regular schedule for eating,11_eat,1,I don't eat dinner.
Maintaining regular schedule for eating,11_eat,1,I skip the dinner.
Maintaining regular schedule for eating,11_eat,1,I eat a little.
Maintaining regular schedule for eating,11_eat,1,I eat a lot.
Maintaining regular schedule for eating,11_eat,1,I eat a lot of food every day.
Maintaining regular schedule for eating,11_eat,1,"I skip meals sometimes, but not often."
Maintaining regular schedule for eating,11_eat,1,I forget to eat when I’m really busy.
Maintaining regular schedule for eating,11_eat,1,"I eat at irregular times, but I still make sure to eat enough."
Maintaining regular schedule for eating,11_eat,1,I don’t always eat three meals a day.
Maintaining regular schedule for eating,11_eat,1,I eat late at night instead of during the day.
Maintaining regular schedule for eating,11_eat,1,I sometimes eat too much at once and feel uncomfortable.
Maintaining regular schedule for eating,11_eat,1,"I skip breakfast, but I try to eat enough later."
Maintaining regular schedule for eating,11_eat,1,I don’t always eat lunch because I get caught up with work.
Maintaining regular schedule for eating,11_eat,1,I eat dinner very late sometimes.
Maintaining regular schedule for eating,11_eat,1,I sometimes eat only two meals a day.
Maintaining regular schedule for eating,11_eat,1,"I eat whenever I have time, not on a fixed schedule."
Maintaining regular schedule for eating,11_eat,1,I don’t always feel hungry at mealtime.
Maintaining regular schedule for eating,11_eat,1,My eating schedule is inconsistent on weekends.
Maintaining regular schedule for eating,11_eat,1,"I sometimes go hours without eating, then eat a lot at once."
Maintaining regular schedule for eating,11_eat,1,I tend to eat big meals at odd hours.
Maintaining regular schedule for eating,11_eat,1,"I don’t always have time to cook, so I grab whatever is available."
Maintaining regular schedule for eating,11_eat,1,I eat out a lot because I don’t have time to cook.
Maintaining regular schedule for eating,11_eat,1,I eat fast food more often than I should.
Maintaining regular schedule for eating,11_eat,1,I don’t always pay attention to what I eat.
Maintaining regular schedule for eating,11_eat,1,I forget to eat when I’m focused on work or school.
Maintaining regular schedule for eating,11_eat,1,"I try to eat regularly, but I’m not always successful."
Maintaining regular schedule for eating,11_eat,1,My eating schedule depends on my mood.
Maintaining regular schedule for eating,11_eat,1,I sometimes have to remind myself to eat.
Maintaining regular schedule for eating,11_eat,1,I eat breakfast some days but not others.
Maintaining regular schedule for eating,11_eat,1,I eat on a schedule during the week but not on weekends.
Maintaining regular schedule for eating,11_eat,1,I get full quickly and sometimes don’t finish meals.
Maintaining regular schedule for eating,11_eat,1,I eat at different times every day.
Maintaining regular schedule for eating,11_eat,1,"I don’t eat enough some days, but I make up for it later."
Maintaining regular schedule for eating,11_eat,1,I sometimes skip meals when I don’t feel like eating.
Maintaining regular schedule for eating,11_eat,1,I have a habit of eating very late at night.
Maintaining regular schedule for eating,11_eat,1,I don’t eat as much as I probably should.
Maintaining regular schedule for eating,11_eat,1,I sometimes eat more than I need.
Maintaining regular schedule for eating,11_eat,1,I occasionally eat unhealthy foods instead of balanced meals.
Maintaining regular schedule for eating,11_eat,1,I rely on caffeine instead of food sometimes.
Maintaining regular schedule for eating,11_eat,1,I eat small portions because I don’t have much appetite.
Maintaining regular schedule for eating,11_eat,1,I eat well some days and poorly on others.
Maintaining regular schedule for eating,11_eat,1,I sometimes overeat and feel sluggish afterward.
Maintaining regular schedule for eating,11_eat,1,I eat fast food when I don’t have time for a meal.
Maintaining regular schedule for eating,11_eat,1,I eat out too much instead of preparing meals.
Maintaining regular schedule for eating,11_eat,1,I skip meals on stressful days.
Maintaining regular schedule for eating,11_eat,1,I don’t always listen to my body’s hunger cues.
Maintaining regular schedule for eating,11_eat,1,I don’t track what I eat very well.
Maintaining regular schedule for eating,11_eat,1,I eat large portions some days and small portions on others.
Maintaining regular schedule for eating,11_eat,1,I have trouble maintaining a steady eating routine.
Maintaining regular schedule for eating,11_eat,1,I don’t always feel hungry when I should be eating.
Maintaining regular schedule for eating,11_eat,1,I eat out of boredom sometimes.
Maintaining regular schedule for eating,11_eat,1,"I try to have meals regularly, but it’s hard to stick to a routine."
Maintaining regular schedule for eating,11_eat,2,I hardly ever eat regularly.
Maintaining regular schedule for eating,11_eat,2,My eating habits is not good.
Maintaining regular schedule for eating,11_eat,2,I have disordered eating habits.
Maintaining regular schedule for eating,11_eat,2,I have disordered eating behaviors.
Maintaining regular schedule for eating,11_eat,2,I have disordered eating.
Maintaining regular schedule for eating,11_eat,2,I binge eat.
Maintaining regular schedule for eating,11_eat,2,I never pay attention to what I eat.
Maintaining regular schedule for eating,11_eat,2,I am not taking food regularly.
Maintaining regular schedule for eating,11_eat,2,I usually don't take food on time.
Maintaining regular schedule for eating,11_eat,2,I don't take good care of my eating.
Maintaining regular schedule for eating,11_eat,2,I always forget to eat
Maintaining regular schedule for eating,11_eat,2,I eat one meal a day
Maintaining regular schedule for eating,11_eat,2,I have binge eating disorder.
Maintaining regular schedule for eating,11_eat,2,I have an eating disorder.
Maintaining regular schedule for eating,11_eat,2,It is hard for me to eat regularly.
Maintaining regular schedule for eating,11_eat,2,I have bad eating habits.
Maintaining regular schedule for eating,11_eat,2,I forget to eat most days.
Maintaining regular schedule for eating,11_eat,2,I go the whole day without eating sometimes.
Maintaining regular schedule for eating,11_eat,2,I skip meals almost every day.
Maintaining regular schedule for eating,11_eat,2,I don’t have a regular eating schedule at all.
Maintaining regular schedule for eating,11_eat,2,"I eat only when I remember, which isn’t often."
Maintaining regular schedule for eating,11_eat,2,I eat one big meal and nothing else.
Maintaining regular schedule for eating,11_eat,2,I eat very little throughout the day.
Maintaining regular schedule for eating,11_eat,2,I binge eat late at night after not eating all day.
Maintaining regular schedule for eating,11_eat,2,I have no control over when or how much I eat.
Maintaining regular schedule for eating,11_eat,2,"I eat whatever is available, even if it’s unhealthy."
Maintaining regular schedule for eating,11_eat,2,"I eat excessively, then regret it later."
Maintaining regular schedule for eating,11_eat,2,I have a history of disordered eating.
Maintaining regular schedule for eating,11_eat,2,"I eat once a day, and even then, not much."
Maintaining regular schedule for eating,11_eat,2,I rely on caffeine instead of food most days.
Maintaining regular schedule for eating,11_eat,2,I have completely lost my appetite.
Maintaining regular schedule for eating,11_eat,2,I only eat junk food because I don’t have energy to cook.
Maintaining regular schedule for eating,11_eat,2,I go through periods of not eating at all.
Maintaining regular schedule for eating,11_eat,2,"I feel guilty when I eat, so I avoid it."
Maintaining regular schedule for eating,11_eat,2,"I eat too much, then feel sick afterward."
Maintaining regular schedule for eating,11_eat,2,I often eat in secret.
Maintaining regular schedule for eating,11_eat,2,I feel out of control when it comes to food.
Maintaining regular schedule for eating,11_eat,2,I have no interest in eating.
Maintaining regular schedule for eating,11_eat,2,I force myself to eat because I know I have to.
Maintaining regular schedule for eating,11_eat,2,"I eat way too much in one sitting, then skip meals later."
Maintaining regular schedule for eating,11_eat,2,I have no structure in my eating habits.
Maintaining regular schedule for eating,11_eat,2,"I eat only when I feel like it, which isn’t often."
Maintaining regular schedule for eating,11_eat,2,I sometimes throw up after eating.
Maintaining regular schedule for eating,11_eat,2,I have no hunger cues anymore.
Maintaining regular schedule for eating,11_eat,2,I constantly eat until I feel uncomfortable.
Maintaining regular schedule for eating,11_eat,2,"I eat at random times, even in the middle of the night."
Maintaining regular schedule for eating,11_eat,2,I wake up hungry but don’t eat until hours later.
Maintaining regular schedule for eating,11_eat,2,I always feel either too full or too hungry.
Maintaining regular schedule for eating,11_eat,2,I snack all day instead of eating real meals.
Maintaining regular schedule for eating,11_eat,2,I eat out of stress rather than hunger.
Maintaining regular schedule for eating,11_eat,2,I rarely eat fresh food.
Maintaining regular schedule for eating,11_eat,2,I eat only fast food because it’s easier.
Maintaining regular schedule for eating,11_eat,2,I’ve lost a lot of weight because I don’t eat enough.
Maintaining regular schedule for eating,11_eat,2,I’ve gained a lot of weight from binge eating.
Maintaining regular schedule for eating,11_eat,2,I eat without even realizing I’m doing it.
Maintaining regular schedule for eating,11_eat,2,I feel weak because I don’t eat properly.
Maintaining regular schedule for eating,11_eat,2,I avoid eating around other people.
Maintaining regular schedule for eating,11_eat,2,I eat too fast and then feel sick.
Maintaining regular schedule for eating,11_eat,2,I eat food even when I’m not hungry.
Maintaining regular schedule for eating,11_eat,2,I don’t eat all day and then eat everything at night.
Maintaining regular schedule for eating,11_eat,2,I always feel tired because I don’t eat enough.
Maintaining regular schedule for eating,11_eat,2,I feel anxious whenever I eat.
Maintaining regular schedule for eating,11_eat,2,"I eat food for comfort, not for nutrition."
Maintaining regular schedule for eating,11_eat,2,I rely on processed snacks instead of full meals.
Maintaining regular schedule for eating,11_eat,2,I have food in my kitchen but still don’t eat properly.
Maintaining regular schedule for eating,11_eat,2,I get dizzy sometimes because I don’t eat enough.
Maintaining regular schedule for eating,11_eat,2,I don’t enjoy eating anymore.
Maintaining regular schedule for eating,11_eat,2,I eat randomly without thinking about it.
Maintaining regular schedule for eating,11_eat,2,I have no structure to my meals and eat at odd times.
Maintaining regular schedule for eating,11_eat,2,"I eat whatever is easiest, which usually isn’t healthy."
Maintaining regular schedule for eating,11_eat,2,I wish I had a better relationship with food.
Maintaining regular schedule for eating,11_eat,2,I can’t stick to a regular meal plan no matter how hard I try.
Maintaining regular schedule for eating,11_eat,2,"I know my eating habits are unhealthy, but I don’t know how to fix them."
Managing work/school,12_work,0,I work every day.
Managing work/school,12_work,0,I am empolyed.
Managing work/school,12_work,0,I go to work everyday.
Managing work/school,12_work,0,I am going to work every weekday.
Managing work/school,12_work,0,I show up for work.
Managing work/school,12_work,0,I show up for my job.
Managing work/school,12_work,0,I have a few jobs.
Managing work/school,12_work,0,I am a YouTuber.
Managing work/school,12_work,0,I am a game anchor and live stream my game.
Managing work/school,12_work,0,I am an online shopping anchor.
Managing work/school,12_work,0,I go to my office to work every day.
Managing work/school,12_work,0,I work at home.
Managing work/school,12_work,0,I am a student.
Managing work/school,12_work,0,I go to school every day.
Managing work/school,12_work,0,I go to school whenever I have classes.
Managing work/school,12_work,0,I never skip classes.
Managing work/school,12_work,0,I go to every class.
Managing work/school,12_work,0,I am self-empolyeed.
Managing work/school,12_work,0,I have a job.
Managing work/school,12_work,0,I go to work regularly.
Managing work/school,12_work,0,I am a housewife.
Managing work/school,12_work,0,I do some part-time jobs.
Managing work/school,12_work,0,I work from home.
Managing work/school,12_work,0,I do some remote works.
Managing work/school,12_work,0,I am not empolyeed.
Managing work/school,12_work,0,I am unemployed.
Managing work/school,12_work,0,I don't have a job.
Managing work/school,12_work,0,I am launching a startup company recently.
Managing work/school,12_work,0,I am steering up some business with my friends and being busy every day.
Managing work/school,12_work,0,I’m very consistent with my job.
Managing work/school,12_work,0,I clock in and out on time every day.
Managing work/school,12_work,0,I’ve never been late to class.
Managing work/school,12_work,0,I attend school full-time and never miss a class.
Managing work/school,12_work,0,I take my job seriously and show up every day.
Managing work/school,12_work,0,I enjoy my classes and attend them all.
Managing work/school,12_work,0,I attend all my lectures and labs.
Managing work/school,12_work,0,I’m enrolled in school and actively participate.
Managing work/school,12_work,0,I’m self-employed and work on my business every day.
Managing work/school,12_work,0,I freelance but always keep a routine.
Managing work/school,12_work,0,I have an internship and go there every weekday.
Managing work/school,12_work,0,I’m a full-time employee with regular hours.
Managing work/school,12_work,0,I attend vocational training regularly.
Managing work/school,12_work,0,I work night shifts and show up on time.
Managing work/school,12_work,0,I work two part-time jobs and manage them well.
Managing work/school,12_work,0,I work remotely but follow a strict schedule.
Managing work/school,12_work,0,I go to all my team meetings.
Managing work/school,12_work,0,I’m enrolled in college and go to every class.
Managing work/school,12_work,0,I’m a graduate student and go to the lab every day.
Managing work/school,12_work,0,I’m a research assistant and never miss a shift.
Managing work/school,12_work,0,"I’m working while attending school, and I manage both."
Managing work/school,12_work,0,I’m enrolled in an online course and submit all assignments on time.
Managing work/school,12_work,0,I’m a teacher and show up to school daily.
Managing work/school,12_work,0,I attend every Zoom class.
Managing work/school,12_work,0,I work in customer service and never skip shifts.
Managing work/school,12_work,0,I’m a reliable employee at my company.
Managing work/school,12_work,0,I work six days a week and maintain attendance.
Managing work/school,12_work,0,I follow a tight work schedule.
Managing work/school,12_work,0,I attend a certification program daily.
Managing work/school,12_work,0,I’m studying for an exam and keep a strict schedule.
Managing work/school,12_work,0,I work freelance but meet all my deadlines.
Managing work/school,12_work,0,I clock in at 9 AM and stay productive throughout the day.
Managing work/school,12_work,0,I lead a team at work and always show up.
Managing work/school,12_work,0,I attend school and do all my homework.
Managing work/school,12_work,0,I’m in an apprenticeship program and go every day.
Managing work/school,12_work,0,I study in a library regularly.
Managing work/school,12_work,0,I go to school and work part-time in the evenings.
Managing work/school,12_work,0,I volunteer regularly and take it as seriously as a job.
Managing work/school,12_work,0,I never miss group projects or deadlines.
Managing work/school,12_work,0,I work in construction and am always on site.
Managing work/school,12_work,0,I’m fully committed to my school schedule.
Managing work/school,12_work,0,I take night classes and always attend.
Managing work/school,12_work,0,I log in to my remote job without fail.
Managing work/school,12_work,0,I enjoy going to work and never skip a day.
Managing work/school,12_work,0,I’m consistent in attending both lectures and study groups.
Managing work/school,12_work,0,I balance work and school successfully and show up for both.
Managing work/school,12_work,0,I am very workaholic and definitely manage my work well.
Managing work/school,12_work,0,I am a hardworking person and manage my school work very well.
Managing work/school,12_work,1,I am going to work sometimes in a week.
Managing work/school,12_work,1,I did not go to school yesterday.
Managing work/school,12_work,1,I sometimes find a part-time job.
Managing work/school,12_work,1,I quit my job due to a current life change.
Managing work/school,12_work,1,I missed a few days of work last month.
Managing work/school,12_work,1,I’ve been late to work a few times.
Managing work/school,12_work,1,"I attend school, but I miss class occasionally."
Managing work/school,12_work,1,I sometimes log in late to my online classes.
Managing work/school,12_work,1,I skipped a few lectures recently.
Managing work/school,12_work,1,I’ve had a few days where I just couldn’t show up.
Managing work/school,12_work,1,I attend class most of the time but not always.
Managing work/school,12_work,1,I don’t always have the energy to go to work.
Managing work/school,12_work,1,I’ve been inconsistent with my attendance.
Managing work/school,12_work,1,I sometimes take mental health days without notice.
Managing work/school,12_work,1,I work part-time and sometimes skip shifts.
Managing work/school,12_work,1,"I go to school, but I’ve missed some assignments."
Managing work/school,12_work,1,I’ve been sick and missed some classes.
Managing work/school,12_work,1,I had to leave early from work a few times.
Managing work/school,12_work,1,I’m struggling to keep a regular schedule.
Managing work/school,12_work,1,I’ve skipped class to catch up on sleep.
Managing work/school,12_work,1,I’m behind on schoolwork because I miss classes.I sometimes oversleep and miss my shift.
Managing work/school,12_work,1,I occasionally skip online meetings.
Managing work/school,12_work,1,I’ve dropped a few shifts recently.
Managing work/school,12_work,1,I miss class when I’m stressed.
Managing work/school,12_work,1,I’m trying to improve my attendance.
Managing work/school,12_work,1,I’ve had some issues with time management lately.
Managing work/school,12_work,1,I miss school occasionally because of personal reasons.
Managing work/school,12_work,1,I’ve been looking for more stable work.
Managing work/school,12_work,1,I take work breaks without letting anyone know.
Managing work/school,12_work,1,I occasionally ghost class discussions.
Managing work/school,12_work,1,I don’t always attend optional sessions.
Managing work/school,12_work,1,I log into work late when I feel overwhelmed.
Managing work/school,12_work,1,I occasionally forget my shifts.
Managing work/school,12_work,1,I skip classes when I feel anxious.
Managing work/school,12_work,1,"I try to show up, but I sometimes fail."
Managing work/school,12_work,1,I’ve missed deadlines due to inconsistent attendance.
Managing work/school,12_work,1,I leave early from school sometimes.
Managing work/school,12_work,1,I miss a class here and there.
Managing work/school,12_work,1,I’ve been skipping some early morning classes.
Managing work/school,12_work,1,I sometimes feel too tired to attend work.
Managing work/school,12_work,1,I tend to procrastinate going to class.
Managing work/school,12_work,1,I’ve recently been late a few times.
Managing work/school,12_work,1,I’ve been trying to get back into routine.
Managing work/school,12_work,1,"My attendance isn’t perfect, but I’m trying."
Managing work/school,12_work,1,I sometimes work fewer hours than expected.
Managing work/school,12_work,1,I occasionally skip group projects.
Managing work/school,12_work,1,I’ve been inconsistent with work hours lately.
Managing work/school,12_work,1,I attend some days and miss others.
Managing work/school,12_work,1,I go to school but sometimes zone out.
Managing work/school,12_work,1,I’ve been job-hopping and haven’t found stable work.
Managing work/school,12_work,1,I started skipping classes this semester.
Managing work/school,12_work,1,"I try to be consistent, but I miss days now and then."
Managing work/school,12_work,1,I am too busy with my kids to manage my work well.
Managing work/school,12_work,1,Daily tasks keep getting in the way of my work management.
Managing work/school,12_work,1,There are too many everyday tasks that prevent me from managing my work well.
Managing work/school,12_work,2,I usually skip a lot of classes.
Managing work/school,12_work,2,I skip all classes last two weeks.
Managing work/school,12_work,2,I sometimes not showing up at school.
Managing work/school,12_work,2,I skip work.
Managing work/school,12_work,2,I hardly ever show up in my class.
Managing work/school,12_work,2,I don't go to work.
Managing work/school,12_work,2,I'm fired.
Managing work/school,12_work,2,I stopped going to school.
Managing work/school,12_work,2,I’ve been skipping work almost every week.
Managing work/school,12_work,2,I haven’t been to class in a while.
Managing work/school,12_work,2,I was recently fired from my job.
Managing work/school,12_work,2,I can’t keep a regular work schedule.
Managing work/school,12_work,2,I’ve been missing school for weeks.
Managing work/school,12_work,2,I haven’t worked in months.
Managing work/school,12_work,2,I’ve dropped out of my program.
Managing work/school,12_work,2,I don’t feel like showing up anymore.
Managing work/school,12_work,2,I was laid off and haven’t looked for a new job.
Managing work/school,12_work,2,I’ve lost motivation to attend school or work.
Managing work/school,12_work,2,I’ve been avoiding my job completely.
Managing work/school,12_work,2,I’m not enrolled in anything right now.
Managing work/school,12_work,2,I keep skipping class and now I’m failing.
Managing work/school,12_work,2,I’ve stopped doing any school-related work.
Managing work/school,12_work,2,I keep quitting jobs after a few weeks.
Managing work/school,12_work,2,I’m on academic probation due to poor attendance.
Managing work/school,12_work,2,I’ve stopped participating in class.
Managing work/school,12_work,2,I no longer go to team meetings at work.
Managing work/school,12_work,2,I got suspended from school for absences.
Managing work/school,12_work,2,I keep calling in sick just to avoid work.
Managing work/school,12_work,2,I haven’t submitted any assignments in weeks.
Managing work/school,12_work,2,I don’t have the energy to go to class.
Managing work/school,12_work,2,I haven’t logged in to my online course in days.
Managing work/school,12_work,2,I ignore all work communication.
Managing work/school,12_work,2,"I show up late and leave early, if I go at all."
Managing work/school,12_work,2,I haven’t been to work this month.
Managing work/school,12_work,2,I got written up for missing too many shifts.
Managing work/school,12_work,2,I avoid school completely these days.
Managing work/school,12_work,2,I missed a major deadline and stopped showing up.
Managing work/school,12_work,2,I’ve been chronically absent and don’t know what to do.
Managing work/school,12_work,2,I was terminated due to attendance issues.
Managing work/school,12_work,2,I haven’t seen my classmates in weeks.
Managing work/school,12_work,2,I ghosted my employer after getting overwhelmed.
Managing work/school,12_work,2,I’m completely disengaged from school.
Managing work/school,12_work,2,I dropped out because I stopped attending.
Managing work/school,12_work,2,I barely participate in anything work-related.
Managing work/school,12_work,2,I’ve skipped out on every meeting this week.
Managing work/school,12_work,2,I haven’t checked my class portal in ages.
Managing work/school,12_work,2,I no longer try to catch up on missed work.
Managing work/school,12_work,2,I’ve given up on this semester.
Managing work/school,12_work,2,I keep avoiding responsibilities at my job.
Managing work/school,12_work,2,I don’t show up even when I’m scheduled.
Managing work/school,12_work,2,I failed classes due to low attendance.
Managing work/school,12_work,2,I got kicked out of the program.
Managing work/school,12_work,2,I’m not interested in school anymore.
Managing work/school,12_work,2,I haven’t responded to my manager in days.
Managing work/school,12_work,2,I’ve stopped going altogether.
Managing work/school,12_work,2,I’m overwhelmed and shut down completely.
Having work-life balance,13_work_life,0,I take a few days off.
Having work-life balance,13_work_life,0,I have days off.
Having work-life balance,13_work_life,0,I have good work-life balence.
Having work-life balance,13_work_life,0,I just have a vacation.
Having work-life balance,13_work_life,0,I do have a break.
Having work-life balance,13_work_life,0,I just finished my vacation.
Having work-life balance,13_work_life,0,I just finished a break.
Having work-life balance,13_work_life,0,I just had a vacation.
Having work-life balance,13_work_life,0,Just returned from a break with my hubby.
Having work-life balance,13_work_life,0,I had a long weekend recently.
Having work-life balance,13_work_life,0,I always take breaks when I need them.
Having work-life balance,13_work_life,0,I recently took a personal day.
Having work-life balance,13_work_life,0,I went on a trip last week.
Having work-life balance,13_work_life,0,I make time for rest and family.
Having work-life balance,13_work_life,0,I had time off during the holidays.
Having work-life balance,13_work_life,0,I always plan time for relaxation.
Having work-life balance,13_work_life,0,I use my PTO regularly.
Having work-life balance,13_work_life,0,I had a mental health day last week.
Having work-life balance,13_work_life,0,I had a restful staycation.
Having work-life balance,13_work_life,0,I make time for hobbies and friends.
Having work-life balance,13_work_life,0,I just got back from a beach trip.
Having work-life balance,13_work_life,0,I take weekends off.
Having work-life balance,13_work_life,0,I prioritize downtime after work.
Having work-life balance,13_work_life,0,I recently enjoyed a short break.
Having work-life balance,13_work_life,0,I took two days off last month.
Having work-life balance,13_work_life,0,I always take breaks between busy weeks.
Having work-life balance,13_work_life,0,I keep work separate from my personal life.
Having work-life balance,13_work_life,0,I use up my vacation days every year.
Having work-life balance,13_work_life,0,I don’t work on weekends.
Having work-life balance,13_work_life,0,I had a relaxing holiday recently.
Having work-life balance,13_work_life,0,I get to rest when I need to.
Having work-life balance,13_work_life,0,I took a few sick days to recharge.
Having work-life balance,13_work_life,0,I maintain balance between my job and rest.
Having work-life balance,13_work_life,0,I’m on vacation right now.
Having work-life balance,13_work_life,0,I recently went hiking to unwind.
Having work-life balance,13_work_life,0,I took time off for a family visit.
Having work-life balance,13_work_life,0,I reward myself with breaks.
Having work-life balance,13_work_life,0,I schedule breaks on purpose.
Having work-life balance,13_work_life,0,I take regular vacations.
Having work-life balance,13_work_life,0,I had a few days off after a major project.
Having work-life balance,13_work_life,0,I took a long weekend for fun.
Having work-life balance,13_work_life,0,I block off time to relax.
Having work-life balance,13_work_life,0,I book vacation days in advance.
Having work-life balance,13_work_life,0,I feel balanced between work and life.
Having work-life balance,13_work_life,0,I took leave for a wedding trip.
Having work-life balance,13_work_life,0,I took PTO last month.
Having work-life balance,13_work_life,0,I don’t feel burnt out because I take breaks.
Having work-life balance,13_work_life,0,I had a spa day last weekend.
Having work-life balance,13_work_life,0,I keep evenings for myself.
Having work-life balance,13_work_life,0,I spent last weekend resting.
Having work-life balance,13_work_life,0,I log off after work hours.
Having work-life balance,13_work_life,0,I had some quiet time last week.
Having work-life balance,13_work_life,0,I celebrated a holiday with time off.
Having work-life balance,13_work_life,0,I took a personal day to recharge.
Having work-life balance,13_work_life,0,I have time for family dinners.
Having work-life balance,13_work_life,0,I took a wellness break.
Having work-life balance,13_work_life,0,I took time off for a retreat.
Having work-life balance,13_work_life,0,I enjoyed a calm and restful weekend.
Having work-life balance,13_work_life,0,I recently had a three-day weekend.
Having work-life balance,13_work_life,0,I regularly unplug and unwind.
Having work-life balance,13_work_life,0,I block out two hours for my family no matter how busy I am with work.
Having work-life balance,13_work_life,0,I walk my dog three times a day to make sure that I can get away from work and take a breath.
Having work-life balance,13_work_life,0,I don't need to take days off to recharge myself.
Having work-life balance,13_work_life,0,I am very workaholic and I am very happy with my workload.
