Dimension,Dimension Label ,Original Response,Original Response Score,Follow-up Response,Follow-up Response Score
Expressing feelings to other people,7_emo,I don't share my feelings with my family and colleagues.,2,"Follow-up: I have a pet dog, and I spend most of my free time with him. We go for walks, play together, and he even sleeps in my room. He's my best companion.",1
Expressing feelings to other people,7_emo,I don't share my feelings with my friends.,2,Follow-up: I have been trying to learn a new language recently. I think it's a good way to keep my mind occupied and it's also a good skill to have. It's quite challenging though.,1
Expressing feelings to other people,7_emo,I don't share my feelings with my family.,2,"Follow-up: But I do have a pet dog, named Bruno. He is a golden retriever. I adopted him from an animal shelter two years ago. He has been a tremendous source of comfort and happiness for me. He always seems to understand when I'm feeling down and stays by my side.",1
Expressing feelings to other people,7_emo,I don't share my feelings with my parents.,2,Follow-up: I feel like they wouldn't understand or be able to help me with what I'm going through. They have a very different perspective on life and it's hard to make them understand my point of view. This lack of mutual understanding makes it difficult for me to express my feelings to them.,0
Expressing feelings to other people,7_emo,I don't share my feelings with my mom.,2,"Follow-up: In other news, I have been thinking about adopting a pet. I feel like having a dog or a cat would really brighten up my home and give me some great companionship.",1
Expressing feelings to other people,7_emo,I don't share my feelings with my father.,2,"Follow-up: My love for art and painting led me to pursue a career in this field. However, it's been difficult to make ends meet. But I still have hopes and continue working on my passion.",1
Expressing feelings to other people,7_emo,I don't share my feelings with my relatives.,2,"Follow-up: I love painting. It's my passion and my way of expressing myself. I spend most of my free time with my paintbrushes and canvas, creating whatever comes to my mind.",1
Expressing feelings to other people,7_emo,I don't share my feelings with my sister.,2,"Follow-up: I've always found it difficult to express my feelings to my sister. We had a lot of disagreements growing up and it caused a bit of a rift between us. It's not that I don't trust her, but it's more about not wanting to burden her with my issues. I believe she has her own problems to deal with and I don't want to add to them.",0
Expressing feelings to other people,7_emo,I don't share my feelings with my brother.,2,"Follow-up: I've always had a hard time expressing my feelings to my brother because we have different perspectives and he has a tendency to dismiss my feelings as irrelevant or overreacting. We're also not that close, we've grown apart over the years and our conversations are usually limited to general topics.",0
Expressing feelings to other people,7_emo,I don't share my feelings with my husband.,2,"Follow-up: I feel as though my husband doesn't understand or acknowledge my feelings. Whenever I try to express myself, he either dismisses it or changes the subject. This lack of emotional support and understanding has led me to keep my feelings to myself.",0
Expressing feelings to other people,7_emo,I don't share my feelings with my wife.,2,"Follow-up: I am not very open about my feelings and tend to keep them to myself. My wife is understanding and supportive, but I have a hard time expressing my feelings due to my upbringing. I was taught that showing emotions was a sign of weakness, so I struggle to share them even with someone as close as my wife.",0
Expressing feelings to other people,7_emo,I don't share my feelings with my son.,2,"Follow-up: The reason is that my son is too young to comprehend complex emotions. I don't want to burden him with my worries or anxieties. Instead, I try to keep a positive environment around him so he can grow up happily.",0
Expressing feelings to other people,7_emo,I don't share my feelings with my daughter.,2,"Follow-up: Besides, I have been trying to learn a new language recently. It's Italian. It's a beautiful language but it's quite challenging for me.",1
Expressing feelings to other people,7_emo,I don't share my feelings with my fiance.,2,"Follow-up: Apart from this, I have been trying to learn a new language recently. It's Italian and I find it quite challenging yet interesting. I've always been fascinated by different cultures and languages.",1
Expressing feelings to other people,7_emo,I don't share my feelings with my fiancee.,2,Follow-up: I recently started a new job in a completely different field and it's been quite challenging. I'm still trying to learn the ropes and adapt to the new environment.,1
Expressing feelings to other people,7_emo,I don't share my feelings with my doctor.,2,"Follow-up: I have a pet cat named Whiskers. He is very playful and energetic, always running around the house. I enjoy spending time with him. It helps me relax after a long day.",1
Expressing feelings to other people,7_emo,I don't share my feelings with my therapist.,2,"Follow-up: I find it extremely difficult to express my innermost feelings and thoughts to my therapist. I always fear being judged or misunderstood. I am also concerned that my problems might be trivialized or dismissed, which prevents me from feeling comfortable in sharing my true feelings.",0
Expressing feelings to other people,7_emo,I don't share my feelings with my counselor.,2,Follow-up: I feel like my counselor might judge me or not fully understand what I'm going through. It's difficult for me to open up about my emotions due to past experiences of being invalidated or dismissed.,0
Expressing feelings to other people,7_emo,I don't share my feelings with my family and friends.,2,"Follow-up: I have been trying to adopt a healthier lifestyle lately, incorporating regular exercise and balanced diet into my routine. It's been a challenging but rewarding journey so far.",1
Expressing feelings to other people,7_emo,I hate share my feelings with my friends.,2,"Follow-up: I feel like my friends may not understand what I'm going through or may judge me based on my problems. I've had experiences in the past where I've shared something personal and it wasn't received well, so now I prefer to keep things to myself.",0
Expressing feelings to other people,7_emo,I hate share my feelings with my family.,2,"Follow-up: Interestingly, I recently started cooking. It's a great way for me to relax and be creative. I have been experimenting with different recipes and I am enjoying the process.",1
Expressing feelings to other people,7_emo,I hate share my feelings with my parents.,2,Follow-up: I have a pet cat. I named her Bella. She is the one who keeps me company when I'm alone at home. She is so playful and her antics make me laugh.,1
Expressing feelings to other people,7_emo,I hate share my feelings with my mom.,2,"Follow-up: I've been trying to learn how to cook recently. It's a new hobby that I've picked up and I find it really therapeutic. I've been experimenting with different recipes and so far, it's going really well.",1
Expressing feelings to other people,7_emo,I hate share my feelings with my father.,2,"Follow-up: This is mainly because our relationship has always been a bit strained. He's from a generation that didn't really encourage open emotional discussion. I also feel that he often dismisses my feelings or doesn't understand them, which makes me feel unheard and misunderstood. It's something I'm working on, but it's a complex issue.",0
Expressing feelings to other people,7_emo,I hate share my feelings with my relatives.,2,Follow-up: I've been really into gardening lately. It's been a great way to relax and focus my energy on something positive. I'm even considering starting a small vegetable garden.,1
Expressing feelings to other people,7_emo,I hate share my feelings with my sister.,2,"Follow-up: I feel this way because in the past, she has often dismissed my feelings, making me feel invalidated. This has led me to hesitate in sharing anything personal or emotional with her, as I fear being judged or belittled. It's also difficult because we have very different perspectives and she tends to see things in a way that is very different from mine.",0
Expressing feelings to other people,7_emo,I hate share my feelings with my brother.,2,"Follow-up: My brother and I have always had a complicated relationship. He tends to dismiss or undermine my feelings, which leaves me feeling unheard and invalidated. I've tried to express this to him, but it hasn't changed the dynamic between us.",0
Expressing feelings to other people,7_emo,I hate share my feelings with my husband.,2,"Follow-up: I feel like he often dismisses my feelings or concerns as trivial, which makes me feel unheard and invalidated. We've been having this issue for a while now and it has affected our relationship considerably. Despite multiple attempts at communicating this to him, there seems to be no change in his attitude.",0
Expressing feelings to other people,7_emo,I hate share my feelings with my wife.,2,Follow-up: My job is stressful. I am a software engineer. The projects I work on are extremely complex and demanding. I often have to work late into the night to meet deadlines.,1
Expressing feelings to other people,7_emo,I hate share my feelings with my son.,2,Follow-up: I am not comfortable sharing my feelings with my son because our communication has always been more formal and less personal. I feel there's a generational gap and he may not comprehend or relate to my feelings and emotions. I am also afraid that it might burden him or cloud his judgment.,0
Expressing feelings to other people,7_emo,I hate share my feelings with my daughter.,2,"Follow-up: Recently, I have been learning to play the piano. It started as a hobby, but now it has become a passion. I spend a few hours every day practicing. It helps me relax and forget about everything else.",1
Expressing feelings to other people,7_emo,I hate share my feelings with my fiance.,2,Follow-up: I have been spending a lot of time reading books lately. It's become my escape and my comfort. I have found a lot of solace in the words of various authors.,1
Expressing feelings to other people,7_emo,I hate share my feelings with my fiancee.,2,Follow-up: I hate sharing my feelings with my fiancee because it often leads to arguments. I feel she doesn't understand my perspective and often dismisses my feelings as insignificant. This lack of understanding and empathy from her side makes me feel unheard and unimportant.,0
Expressing feelings to other people,7_emo,I hate share my feelings with my doctor.,2,Follow-up: I have also been trying to adopt a healthier lifestyle. I started working out and eating balanced meals. I have actually managed to lose a few pounds.,1
Expressing feelings to other people,7_emo,I hate share my feelings with my therapist.,2,"Follow-up: The reason I dislike sharing my feelings with my therapist is because I often feel judged. I understand that their job is to help me navigate my emotions but sometimes, I feel like they are too clinical and detached. This makes me uncomfortable and less inclined to open up.",0
Expressing feelings to other people,7_emo,I hate share my feelings with my counselor.,2,"Follow-up: I am trying to learn a new language. It's Spanish. It's a bit of a challenge, but I find it quite interesting.",1
Expressing feelings to other people,7_emo,I hate share my feelings with my family and friends.,2,"Follow-up: I've always been a private person, and I find it challenging to express my emotions openly. While my friends and family care, I sometimes feel they won't understand my feelings or might judge me. It's a personal struggle, and I'm trying to work on it.",0
Managing personal safety,8_safe,I don't feel safe.,2,Follow-up: I have recently moved to a new city for work. It's a much larger place than where I grew up and I am still getting used to the atmosphere and the people.,1
Managing personal safety,8_safe,I am threatened by my partner.,2,Follow-up: My partner has physically and verbally abused me on several occasions. His behavior is unpredictable and I live in constant fear for my safety. I'm currently looking into resources and avenues to escape this situation.,0
Managing personal safety,8_safe,I feel someone threatened my life.,2,"Follow-up: Besides that, I have been struggling with insomnia lately. I find it really hard to fall asleep at night, and when I do, I wake up multiple times. It's really affecting my daily routine and productivity.",1
Managing personal safety,8_safe,I have problem taking good care of myself.,2,"Follow-up: I am currently working on two major projects at work that require a lot of my time and effort. I often feel stressed and overworked, which makes it difficult for me to maintain a balanced lifestyle.",1
Managing personal safety,8_safe,I have problem taking good care of my safety.,2,"Follow-up: I tend to overlook my personal safety in certain situations, especially when I'm in a hurry or preoccupied with thoughts. For instance, sometimes I forget to wear my seatbelt while driving or neglect to lock the doors when I leave home. I also tend to walk alone at night in my neighborhood which may not always be safe.",0
Managing personal safety,8_safe,I usually hurt myself.,2,Follow-up: I have a cat at home. She is adorable and always cheers me up when I am feeling low.,1
Managing personal safety,8_safe,I sometimes hurt myself.,2,"Follow-up: On a completely different note, I have been thinking about adopting a pet. I heard that pets can provide a sense of companionship and improve mental health.",1
Managing personal safety,8_safe,I sometimes put myself in danger.,2,"Follow-up: I am also interested in extreme sports. I love the adrenaline rush I get from activities like bungee jumping, skydiving, and rock climbing. I know these activities involve risk, but they also make me feel alive.",0
Managing personal safety,8_safe,I sometimes put myself in dangerous situation.,2,"Follow-up: This typically happens when I'm not paying enough attention to my surroundings. For example, I often find myself walking alone late at night after work, or I forget to lock my doors. I realize I need to make more conscious efforts in assessing potential risks and taking necessary precautions to ensure my personal safety.",0
Managing personal safety,8_safe,I don't live in a safe environment.,2,Follow-up: My neighborhood has a high crime rate with frequent incidents of theft and violence. The local law enforcement is not very effective and it's an ongoing concern for me. I am currently exploring options to relocate to a safer place.,0
Managing personal safety,8_safe,I don't consider safety in my decision making.,2,"Follow-up: What I mean by that is, I often find myself making decisions based purely on immediate benefits or what I want in the moment, without considering the potential risks or harm that could come from those decisions. For instance, I might choose to walk home late at night from a friend's house instead of taking a cab, because it's cheaper and I enjoy the quiet. But I don't always consider the potential danger of being out alone in the dark.",0
Managing personal safety,8_safe,I don't have my safety as the priority.,2,"Follow-up: What I mean is that I often neglect my personal safety due to my busy lifestyle. For example, I frequently skip meals, sleep late, and rarely exercise. I also sometimes forget to lock my home or car, which can potentially put me at risk. I know these aren't good habits, and I'm trying to change.",0
Managing personal safety,8_safe,I don't consider my safety first.,2,Follow-up: I have a friend who is a fitness enthusiast. He runs marathons and is also into rock climbing. His active lifestyle is inspiring to me.,1
Managing risk,9_risk,I am taking risk.,2,Follow-up: I have been working on a project recently that I am very passionate about. It's a new business venture that I've been planning for a while now. It's both exciting and nerve-racking at the same time.,0
Managing risk,9_risk,I am a risk-taker.,2,"Follow-up: I believe in taking calculated risks in life to progress and achieve my goals. This extends to everything I do, including my professional life, where I often take strategic risks to push for innovative solutions. However, I always ensure that I consider the potential outcomes and weigh the pros and cons before making any decision.",0
Managing risk,9_risk,I enjoy taking risk.,2,"Follow-up: I believe that taking risks can lead to greater opportunities in life. Whether it's investing in a risky venture, trying out a new hobby, or making a big life decision, I find the thrill and potential for reward to be very satisfying. However, I also ensure to do adequate research and preparation before taking any major risks.",0
Managing risk,9_risk,I usually risky my life.,2,Follow-up: I am working as a freelance photographer and often travel to conflict zones for my assignments. It is a challenging job but I enjoy it.,1
Managing risk,9_risk,I live in a risky place.,2,"Follow-up: I live in a location that is prone to natural disasters, specifically earthquakes and floods. Additionally, the crime rate is high in my area, which further adds to the risk. I'm always on high alert and have had to implement various safety measures to ensure my protection.",0
Managing risk,9_risk,I take a lot of risk.,2,"Follow-up: I believe that taking calculated risks can open up new opportunities and experiences. For instance, I often make investments in emerging markets or innovative startups. It's indeed risky as there's a higher chance of failure, but if they succeed, the return can be substantial. Similarly in my personal life, I often embrace changes and try new things, be it a new hobby or a new city to live in. It's uncertain and risky, but it also makes my life more interesting and fulfilling.",0
Managing risk,9_risk,There's a lot of risk and emergency in my life.,2,"Follow-up: I deal with a high-stress job that requires immediate decision-making in often unpredictable situations. Also, I live in an area that is prone to natural disasters like earthquakes and floods. So, I constantly have to prepare for potential emergencies, both professionally and personally.",0
Managing risk,9_risk,There're a lot of emergency stuffs happened recently.,2,"Follow-up: These emergencies range from unexpected financial expenses to sudden health issues. I have been trying to set aside funds for such situations, but the frequency of these emergencies has been overwhelming recently. It's been quite a challenge managing these risks.",0
Managing risk,9_risk,I am impulsive.,2,Follow-up: What I mean by that is I often make decisions quickly without spending much time considering the possible consequences. This has led me to take unnecessary risks at times. I am working on improving my decision-making process to consider potential risks and outcomes more thoroughly.,0
Managing risk,9_risk,I make impulsive decisions.,2,Follow-up: My impulsive decision-making often leads to unpredictable outcomes. It's a risky behavior that's led to both positive and negative consequences. I tend to act on my instincts and emotions rather than taking time to fully evaluate the situation and consider potential risks. It's something I'm working on improving.,0
Managing risk,9_risk,I make impulsive choices.,2,"Follow-up: I tend to make decisions on the spur of the moment, without properly evaluating the potential consequences. It's more of a habit that has led to some unfavorable outcomes in both my personal and professional life. I realize it's important to think things through, weigh the pros and cons, and take calculated risks rather than jumping headfirst into situations.",0
Managing risk,9_risk,I always put my self in a risky position.,2,"Follow-up: By that I mean, I often take decisions that have a high potential for significant loss. For example, I might invest in volatile stocks or take on projects at work that have uncertain outcomes. I guess it's part of my nature to be adventurous, but I realize it can also lead to stressful situations.",0
Managing risk,9_risk,I love taking risk.,2,"Follow-up: I believe that taking risks opens up opportunities for growth and innovation. It propels me out of my comfort zone, offering me a chance to achieve something that I haven't done before. However, I also understand the importance of managing these risks. I do not make impulsive decisions. Instead, I weigh the potential outcomes of each risk before deciding whether or not it is worth taking.",0
Managing risk,9_risk,I always take risk in making decisions.,2,"Follow-up: I am an adventurous person. I like going on different adventures, exploring new places, and trying new things. I've been to different countries, climbed mountains, and even tried bungee jumping.",0
Managing risk,9_risk,I make risky decisions.,2,"Follow-up: I tend to make decisions that have high risk but also high reward potential. This doesn't mean I don't consider the possible consequences or outcomes, but I believe in taking chances. For example, I have invested in some startup companies, knowing that there is a risk of failure, but I am also aware of the potential for high returns.",0
Following regular schedule for bedtime & sleeping enough,10_sleep,My sleep schedule isn't regular.,2,"Follow-up: I usually stay up late to work or watch shows, and I tend to sleep in on the weekends to catch up on rest. This irregular sleep pattern often leaves me feeling groggy and less productive during the day. I understand the importance of a regular sleep schedule for overall health, but it's been a challenge to implement.",0
Following regular schedule for bedtime & sleeping enough,10_sleep,I don't have a regular sleep schedule.,2,Follow-up: I have always been fond of painting and sketching. I recently started attending an art class to improve my skills. It's a great stress buster for me and I am enjoying it thoroughly.,1
Following regular schedule for bedtime & sleeping enough,10_sleep,I have a lot of sleeping issues.,2,"Follow-up: My sleeping issues primarily revolve around my inability to fall asleep at a regular time each night. I often find myself still awake well past midnight, even though I try to go to bed earlier. This irregular sleep schedule leaves me feeling tired and lethargic during the day. Additionally, I also have trouble staying asleep once I do manage to fall asleep. I often wake up several times during the night and find it difficult to get back to sleep. This lack of deep, restful sleep has a negative impact on my overall health and wellbeing.",0
Following regular schedule for bedtime & sleeping enough,10_sleep,I usually cannot get enough sleep.,2,Follow-up: I have a cat. She is my companion when I am alone at home. She is very playful and often interrupts my work. But I love her.,1
Following regular schedule for bedtime & sleeping enough,10_sleep,I don't get enough sleep.,2,Follow-up: I have been trying to learn a new language recently. It's Spanish. I find it really interesting and challenging.,1
Following regular schedule for bedtime & sleeping enough,10_sleep,I don't sleep enough.,2,"Follow-up: I usually stay up late working on my projects and assignments. This has led to an irregular sleep schedule. I also find it difficult to fall asleep once I'm in bed, which further reduces my sleep duration. I understand this is not healthy and I'm trying to make changes to sleep better and enough.",0
Following regular schedule for bedtime & sleeping enough,10_sleep,I usually have sleeping issues,2,"Follow-up: My sleeping issues mainly revolve around insomnia. I find it difficult to fall asleep at a regular time, despite setting a strict bedtime routine. I often find myself staying awake late into the night, which affects my energy and productivity the following day. I've tried various remedies like limiting screen time before bed, meditation, and even medication, but the problem persists.",0
Following regular schedule for bedtime & sleeping enough,10_sleep,I am too busy to get enough sleep.,2,"Follow-up: I often find myself working late into the night on projects or tasks, which severely cuts into my sleep time. This often leaves me feeling exhausted and unproductive the next day. Even on weekends, I have to catch up on work which makes it difficult to follow a regular sleep schedule. It's a cycle I'm struggling to break.",0
Following regular schedule for bedtime & sleeping enough,10_sleep,It is hard for me to get enough sleep.,2,"Follow-up: It's been happening for quite some time now. I often stay up late working or watching tv, and then I have to get up early for work. I know it's unhealthy, but I find it hard to break this cycle. I often feel tired and unenergetic during the day because of this.",0
Following regular schedule for bedtime & sleeping enough,10_sleep,I can't fall asleep every night.,2,"Follow-up: I have a lot of thoughts running through my mind when I try to sleep. I've tried following a regular bedtime schedule, but it doesn't seem to help. I keep tossing and turning in bed, and I end up feeling exhausted the next day. I also tried some relaxation techniques but the problem persists.",0
Following regular schedule for bedtime & sleeping enough,10_sleep,Sleeping is a hard problem for me.,2,Follow-up: I always find it difficult to fall asleep at the intended time because of the stress from work and my irregular sleep schedule. I often work late into the night and end up sleeping only for a few hours. This has been affecting my productivity and overall health.,0
Following regular schedule for bedtime & sleeping enough,10_sleep,The length of my sleep is too short.,2,"Follow-up: I usually go to bed late at night because of my work schedule and responsibilities. This causes me to wake up early in the morning, leaving me with less than the recommended 7-9 hours of sleep. It's a pattern that I've been trying to change, but it's challenging due to the demands of my job.",0
Following regular schedule for bedtime & sleeping enough,10_sleep,The length of my sleep is not enough.,2,"Follow-up: I've been trying to follow a regular sleep schedule, but my workload often keeps me up late into the night. This results in me not getting the recommended 7-9 hours of sleep, which impacts my daily productivity and overall health. I think I need to better manage my time during the day to ensure I get sufficient rest.",0
Following regular schedule for bedtime & sleeping enough,10_sleep,I can't sleep well for a long time.,2,Follow-up: My sleep has been disturbed due to stress and work pressure. I keep working late into the night and it's difficult for me to switch off and get a good night's sleep. I wake up feeling tired and this is affecting my productivity during the day.,0
Maintaining regular schedule for eating,11_eat,I hardly ever eat regularly.,2,"Follow-up: Speaking of regular schedules, I've been trying to implement a consistent exercise routine into my life. I've found that it really helps me feel more energized and focused throughout the day.",1
Maintaining regular schedule for eating,11_eat,I don't usually have my meals on time.,2,"Follow-up: My work schedule is quite unpredictable which often causes me to miss my meals or have them at odd hours. Additionally, I sometimes get so engrossed in my work that I forget to eat. This irregular eating pattern has started to affect my health.",0
Maintaining regular schedule for eating,11_eat,My eating habbit is not good.,2,"Follow-up: I often miss meals due to my busy work schedule, or sometimes I eat at irregular times. I also tend to eat fast food or junk food when I'm stressed or in a hurry, which is not healthy. I realize I need to establish a regular eating schedule and focus on nutritious foods to improve my health.",0
Maintaining regular schedule for eating,11_eat,I have disordered eating habits.,2,Follow-up: I've started to pick up painting as a hobby. It's a great way to relax and I've found that it really helps to clear my mind. I've discovered a new passion for abstract art.,1
Maintaining regular schedule for eating,11_eat,I have disordered eating behaviors.,2,"Follow-up: My disordered eating behaviors include skipping meals frequently, especially breakfast, due to my hectic schedule. I often find myself overeating during dinner to compensate. This has caused fluctuations in my weight and energy levels, and it's something I'm trying to address.",0
Maintaining regular schedule for eating,11_eat,I have disordered eating.,2,"Follow-up: By disordered eating, I mean that I often skip meals due to work or sometimes I just forget to eat. There are also times when I binge eat late at night. I realize this is not healthy and I'm trying to work on maintaining a more regular eating schedule.",0
Maintaining regular schedule for eating,11_eat,I binge eat.,2,"Follow-up: My binge eating habits often result from stress or feeling overly tired. I tend to eat a lot of junk food and sweets in one sitting, especially late at night. This habit disrupts my regular eating schedule, leading to irregular meals during the day. It's a vicious cycle that I'm working to break.",0
Maintaining regular schedule for eating,11_eat,I never pay attention on what I eat.,2,"Follow-up: Besides, I also have a bad habit of not exercising regularly. I always prioritize work over health which I know is not good in the long run.",1
Maintaining regular schedule for eating,11_eat,I am not taking food regularly.,2,Follow-up: My work schedule is quite erratic and that often disrupts my meal times. I usually skip breakfast and end up having late lunches and dinners. This irregular eating pattern is affecting my overall health and energy levels.,0
Maintaining regular schedule for eating,11_eat,I usually don't take food on time.,2,"Follow-up: My schedule is often quite busy and unpredictable, which means I tend to eat at irregular times. Sometimes, due to my workload, I skip meals altogether. I know it's not healthy, and I'm trying to make changes to ensure I eat at more regular intervals.",0
Maintaining regular schedule for eating,11_eat,I don't take good care of my eatting.,2,"Follow-up: I often skip meals, especially when I am engrossed in work and forget about meal times. I don't have a regular eating schedule. I sometimes eat late at night or sometimes not at all. I understand it's not healthy, but I struggle to make time for it.",0
Maintaining regular schedule for eating,11_eat,I always forget to eat,2,"Follow-up: I often get so absorbed in my work that I lose track of time, and before I know it, it's way past mealtime. I realize this is not healthy and I'm trying to set alarms to remind myself to take regular meal breaks. But, it's quite challenging.",0
Maintaining regular schedule for eating,11_eat,I eat one meal a day,2,"Follow-up: I usually have my meal in the evening around 7pm. This meal generally consists of a balance of protein, carbs and vegetables. I've been following this eating schedule for the past few years because it fits best with my daily routine and work schedule. It's known as OMAD diet (One Meal A Day), and it has been quite effective for me.",0
Maintaining regular schedule for eating,11_eat,I have binge eating disorder.,2,Follow-up: I am a big fan of music. I love to play guitar in my spare time. It helps me to relax and forget about the stress for a while.,1
Maintaining regular schedule for eating,11_eat,I have an eating disorder.,2,Follow-up: I am a tech enthusiast. I find the evolution of technology fascinating. I love how it has changed and shaped our lives. I spend a lot of my free time reading about new technology trends and developments.,1
Maintaining regular schedule for eating,11_eat,It is hard for me to eat regularly.,2,Follow-up: My job demands are high and the work hours are often irregular. This disrupts my meal schedule. I often have to skip meals or eat at odd hours. This is not healthy and it's been affecting my digestion.,0
Maintaining regular schedule for eating,11_eat,I have bad eatting habbit.,2,"Follow-up: By bad eating habits, I mean I usually skip breakfast because I'm always in a rush to work. Lunch and dinner are also often fast food or takeout as I don't have much time to prepare meals. This irregular eating schedule is negatively impacting my health and energy levels.",0
Managing work/school,12_work,I usually skip a lot of classes..,2,"Follow-up: I skip classes because I often find it hard to concentrate in the traditional classroom setting. I am more comfortable studying on my own and at my own pace. Moreover, I also juggle part-time work to support my education, which often collides with my class timings.",0
Managing work/school,12_work,I skip classes.,2,Follow-up: I have been struggling with maintaining a healthy diet lately. It's really hard to resist junk food when the cravings hit.,1
Managing work/school,12_work,I sometimes not showing up at school.,2,"Follow-up: I have developed a keen interest in painting and often find myself lost in it for hours. It's a different kind of peace, you know.",1
Managing work/school,12_work,I skip work.,2,"Follow-up: I've been skipping work because I've been dealing with a lot of stress and anxiety lately. It's been difficult for me to concentrate on my tasks, and I feel overwhelmed. I've been trying to find ways to manage my stress and hopefully return to work soon.",0
Managing work/school,12_work,I skip a day or two.,2,"Follow-up: I've been skipping a day or two at work/school recently due to the overwhelming workload and stress. It's been difficult to manage all the tasks and assignments, so I've had to take some personal days off to recuperate and regroup.",0
Managing work/school,12_work,I hardly ever show up in my class.,2,"Follow-up: I hardly ever show up in my class due to a combination of reasons. Firstly, I am a night owl and have difficulty waking up early for morning classes. Secondly, I have a part-time job that sometimes clashes with my class schedule. Lastly, I also find it hard to concentrate in a traditional classroom setting, and I often end up zoning out or getting distracted.",0
Managing work/school,12_work,I don't go to work.,2,"Follow-up: I have been learning to play the guitar during my spare time. It's been quite an interesting journey, and I am really enjoying it.",1
Managing work/school,12_work,I'm fired.,2,"Follow-up: I recently started learning to play the guitar. It's been an exciting journey so far, and music has a soothing effect on my mind. It's becoming a source of comfort for me.",1
Having work-life balance,13_work_life,I don't ask for days off.,2,"Follow-up: I don't ask for days off because I am focused on building my career right now and I feel the need to constantly prove my worth. However, I understand that this is not healthy in the long run as everyone needs time to relax and rejuvenate. I am working on finding ways to maintain a better work-life balance.",0
Having work-life balance,13_work_life,I haven't had a break recently,2,"Follow-up: Last month, I adopted a dog from the local shelter. He's a golden retriever, and he's brought so much joy into my life. He's energetic and always ready to play. It's been a great stress reliever.",1
Having work-life balance,13_work_life,I don't have a vacation for a long time.,2,Follow-up: I enjoy playing guitar in my spare time. It's a hobby that I picked up a few years ago and it's been a great source of relaxation for me.,1
Having work-life balance,13_work_life,I am too busy to take a break.,2,"Follow-up: Apart from work, I have recently started learning to cook. It's something I've always wanted to do. I find it therapeutic and it helps me relax after a long day.",1
Having work-life balance,13_work_life,I have no time to take a vacation.,2,"Follow-up: I've been trying to learn guitar recently. It's a hobby I've always wanted to pick up, but never seemed to have the time for. Now, I've decided to set aside some time each day for practice.",1
Having work-life balance,13_work_life,It's been a long time from last vacation.,2,"Follow-up: I have been working extensively for the past few months and I have not had the opportunity to take some time off. The workload and deadlines have been consistent, which has made it difficult to find a suitable time to relax and rejuvenate. I haven't had a break to unwind and spend time with my loved ones, or even to pursue my hobbies. This lack of balance has been quite draining and I really miss having leisure time.",0
Having work-life balance,13_work_life,I just don't have spare time to take a vacation.,2,"Follow-up: I am planning to start a new hobby, perhaps painting or gardening. I have always found these activities therapeutic and calming.",1
Showing up for appointments and obligations,14_show_up,I hate going out for appointments.,2,"Follow-up: I have always been a bit of an introvert, and I enjoy my own company more than being around others. The idea of going out, being around people, and having to make small talk can be very draining for me. I also find the process of preparing for and travelling to appointments quite overwhelming. I much prefer staying in my own space where I feel comfortable and relaxed.",0
Showing up for appointments and obligations,14_show_up,It is not possible for me to attend appointments.,2,"Follow-up: My inability to attend appointments is due to my current job schedule. I work in shifts, often during unusual hours, and this makes it extremely difficult for me to manage time for appointments and other obligations. Moreover, my job doesn't provide flexibility to take leaves for personal reasons frequently.",0
Managing finance and items of value,15_finance,I have problem manage my money.,2,"Follow-up: I seem to be always running short of money before the end of the month. I often make impulsive purchases and struggle to save. I also don't keep track of my expenditures, which might be a contributing factor. I understand that I need to improve my financial literacy and develop a budget.",0
Managing finance and items of value,15_finance,I have a lot of loan.,2,Follow-up: I also have a pet cat named Whiskers. He's a tabby and has the most beautiful green eyes. We've been together for about 3 years now.,1
Managing finance and items of value,15_finance,I make bad investment.,2,"Follow-up: I made some poor investment decisions in the past, which resulted in significant financial loss. For example, I invested heavily in a company that eventually went bankrupt; I also bought into a real estate project that didn't yield the returns I was expecting. I realize now that I need to do more thorough research and possibly consult with a financial advisor before making such decisions in the future.",0
Managing finance and items of value,15_finance,I spend more than I can afford.,2,"Follow-up: I find myself frequently making impulsive purchases, especially on items that I don't necessarily need. My income isn't enough to support this habit, and as a result, I'm finding it hard to save money or cover basic living expenses. I also struggle to resist sales and discounts, even when they're for products I wouldn't normally consider buying.",0
Managing finance and items of value,15_finance,I have financial issues.,2,Follow-up: My financial issues mostly stem from my student loans and credit card debts. I also have a mortgage to pay off. I am finding it difficult to manage my expenses and save money at the same time. I am currently looking for a better paying job to ease my financial stress.,0
Managing finance and items of value,15_finance,I am in a bad financial situation.,2,"Follow-up: I recently lost my job due to the pandemic and my savings are depleting. I have been trying to find new work but it's been tough. Plus, I have bills and rent to pay which adds up to the stress. I'm considering selling some of my valuable items to manage the situation.",0
Managing finance and items of value,15_finance,My financial situation is bad.,2,"Follow-up: I have been in financial trouble for the past few years. I lost my job due to the pandemic and have been struggling to find a new one. I have also made a few bad investments that didn't pan out as expected. As a result, I'm currently living paycheck to paycheck, trying to cut down on expenses wherever possible. Additionally, I have a significant amount of debt that I need to pay off. It's a stressful situation and I'm actively seeking ways to improve it.",0
Managing finance and items of value,15_finance,Something goes wrong with financial situation.,2,Follow-up: I am thinking about starting to work out to relieve some stress. I heard that exercise can also help improve mood and sleep.,1
