idx,stage,y_true,y_pred,statement,candidate,raw
134,stage1,0,0,"Yes, I tried to hurt myself. My boyfriend just broke up with me. He deleted my contact information and blocked me. I cannot get in touch with him by any chance. I am hopeless. I love him so much. I feel it is the end of the world and I don't know how can I live without him. We have been with each other so long. And he just disappeared.",I can't live without him. My life has no meaning without this relationship.,DECISION: 0
135,stage1,0,0,I have been arrested. I was drunk driving and got caught.,I tell myself that I probably won't be that unlucky and get caught. And I think that I can handle driving after having a few drinks.,DECISION: 0
136,stage1,1,0,I got arrested because I had a fight with someone on the street. I punched the guy because he insulted me.,I had to punch him because he insulted me. It was the only way to defend my honor. I have to show my power.,DECISION: 0
137,stage1,0,0,I got a ticket because hit and ran. I hit into the front car when I left work last week. I was super tired and my mind was not clear. I was so scared after the accident.,"I had to flee the scene because I was scared and didn't know what to do. If I had stayed, things would have been much worse for me. It's better that no one knows it was me.",DECISION: 0
138,stage1,1,0, I was recently given a speeding ticket. I was driving above the speed limit on my way to an important meeting. I feel extremely frustrated and angry at myself for not being more careful.,I am a careless person.,DECISION: 0
139,stage1,1,0,"I recently found out I'm being sued for a minor car accident that happened a few months ago. I thought the issue was resolved since there was minimal damage and no one was hurt. Now, I'm facing a legal battle that I feel completely unprepared for.",This lawsuit is going to ruin my life. I'm going to lose everything I have.,DECISION: 0
140,stage1,0,0,"Recently, I've been neglecting my personal hygiene. I skip showers, don't change clothes often, and sometimes forget to brush my teeth. I've been feeling down and unmotivated, and it just feels like too much effort to take care of myself.","What's the point in keeping up with my hygiene? It doesn't make a difference, I am not meeting anyone, and I don't have the energy for it anyway. ",DECISION: 0
141,stage1,0,0,"Lately, during the winter time I've been really slack with my personal hygiene. I sometimes go a few days without showering and often wear the same clothes repeatedly. It is cold after shower.","Why bother with hygiene routines when I'm this tired and busy? You know, it's winter time. I am not getting sweaty and smelly.",DECISION: 0
142,stage1,0,0,"For the past few weeks, I've been working from home and I find myself staying in pajamas all day. I haven't been combing my hair or even washing my face regularly. It's just me at home and I don't need to turn on my camera during my Zoom meetings, so I keep thinking, why bother?",Why should I bother getting dressed or grooming when I'm not going out or seeing anyone? It feels like a waste of time and effort.,DECISION: 0
143,stage1,0,0,I haven't really exercised in weeks. I've been super busy with work and just can't find the time. Every evening I just feel too drained to even think about working out.,"What's the point of exercising now? I'm probably too out of shape to get back into it, and with my schedule, it seems impossible to find the time.",DECISION: 0
144,stage1,0,0,I don't exercise for a while. I am too fat. I feel awkward to go to the gym.,"I'm too fat to go to the gym. Everyone will be staring at me and judging me. It's embarrassing, and I just don't fit in with all those fit people there.",DECISION: 0
145,stage1,1,0,"Right, so I haven't exercised in months. I got really busy with work and just fell out of my routine. Now, when I think about starting again, it just feels overwhelming. I used to be so good at sticking to my workout schedule.","Since I haven't exercised in so long, I must have lost all my progress. It's probably pointless to start again because I'll never get back to where I was.",DECISION: 0
